Ticker,Date,Open,High,Low,Close,Adj Close,Volume
BTC,11/1/2015,315.005005,495.562012,300.997009,377.321014,377.321014,2177623396
BTC,12/1/2015,377.414001,469.102997,349.464996,430.566986,430.566986,2096250000
BTC,1/1/2016,430.721008,462.93399,354.914001,368.766998,368.766998,1990880304
BTC,2/1/2016,369.350006,448.04599,367.957001,437.696991,437.696991,1876238692
BTC,3/1/2016,437.916992,439.653015,394.035004,416.729004,416.729004,2332852776
BTC,4/1/2016,416.76001,467.964996,415.830994,448.317993,448.317993,1811475204
BTC,5/1/2016,448.484009,553.960022,437.389008,531.385986,531.385986,2234432796
BTC,6/1/2016,531.106995,777.98999,525.635986,673.336975,673.336975,4749702740
BTC,7/1/2016,672.515015,704.968018,611.833984,624.68103,624.68103,3454186204
BTC,8/1/2016,624.60199,626.119019,531.333984,575.471985,575.471985,2686220180
BTC,9/1/2016,575.546021,628.817993,570.810974,609.734985,609.734985,2004401400
BTC,10/1/2016,609.929016,720.401978,609.479004,700.971985,700.971985,2115443796
BTC,11/1/2016,701.336975,756.237,678.156006,745.690979,745.690979,2635773092
BTC,12/1/2016,746.046021,979.396973,746.046021,963.742981,963.742981,3556763800
BTC,1/1/2017,963.65802,1191.099976,755.755981,970.403015,970.403015,5143971692
BTC,2/1/2017,970.940979,1200.390015,946.690979,1179.969971,1179.969971,4282761200
BTC,3/1/2017,1180.040039,1280.310059,903.713013,1071.790039,1071.790039,10872455960
BTC,4/1/2017,1071.709961,1347.910034,1061.089966,1347.890015,1347.890015,9757448112
BTC,5/1/2017,1348.300049,2763.709961,1348.300049,2286.409912,2286.409912,34261856864
BTC,6/1/2017,2288.330078,2999.909912,2212.959961,2480.840088,2480.840088,44478140928
BTC,7/1/2017,2492.600098,2916.139893,1843.030029,2875.340088,2875.340088,32619956992
BTC,8/1/2017,2871.300049,4736.049805,2668.590088,4703.390137,4703.390137,63548016640
BTC,9/1/2017,4701.759766,4975.040039,2946.620117,4338.709961,4338.709961,55700949056
BTC,10/1/2017,4341.049805,6470.430176,4164.049805,6468.399902,6468.399902,58009357952
BTC,11/1/2017,6440.970215,11517.40039,5519.009766,10233.59961,10233.59961,1.41E+11
BTC,12/1/2017,10198.59961,20089,9694.650391,14156.40039,14156.40039,4.10E+11
BTC,1/1/2018,14112.2002,17712.40039,9402.290039,10221.09961,10221.09961,4.16E+11
BTC,2/1/2018,10237.29981,11958.5,6048.259766,10397.90039,10397.90039,2.30E+11
BTC,3/1/2018,10385,11704.09961,6683.930176,6973.529785,6973.529785,1.94E+11
BTC,4/1/2018,7003.060059,9745.320313,6526.870117,9240.549805,9240.549805,1.97E+11
BTC,5/1/2018,9251.469727,9964.5,7090.680176,7494.169922,7494.169922,1.98E+11
BTC,6/1/2018,7500.700195,7754.890137,5826.410156,6404,6404,1.30E+11
BTC,7/1/2018,6411.680176,8424.269531,6136.419922,7780.439941,7780.439941,1.41E+11
BTC,8/1/2018,7769.040039,7769.040039,5971.049805,7037.580078,7037.580078,1.32E+11
BTC,9/1/2018,7044.810059,7388.430176,6197.52002,6625.560059,6625.560059,1.30E+11
BTC,10/1/2018,6619.850098,6965.060059,6236.470215,6317.609863,6317.609863,1.18E+11
BTC,11/1/2018,6318.140137,6552.160156,3585.060059,4017.268555,4017.268555,1.58E+11
BTC,12/1/2018,4024.464355,4309.377441,3191.303467,3742.700439,3742.700439,1.69E+11
BTC,1/1/2019,3746.713379,4109.020996,3400.819824,3457.792725,3457.792725,1.67E+11
BTC,2/1/2019,3460.547119,4210.641602,3391.023682,3854.7854,3854.7854,1.99E+11
BTC,3/1/2019,3853.75708,4296.806641,3733.749756,4105.404297,4105.404297,2.98E+11
BTC,4/1/2019,4105.362305,5642.044434,4096.901367,5350.726563,5350.726563,4.45E+11
BTC,5/1/2019,5350.914551,9008.314453,5347.645996,8574.501953,8574.501953,7.24E+11
BTC,6/1/2019,8573.839844,13796.48926,7564.48877,10817.15527,10817.15527,6.76E+11
BTC,7/1/2019,10796.93066,13129.5293,9163.134766,10085.62793,10085.62793,6.76E+11
BTC,8/1/2019,10077.44238,12273.82129,9421.629883,9630.664063,9630.664063,5.34E+11
BTC,9/1/2019,9630.592773,10898.76172,7830.758789,8293.868164,8293.868164,5.95E+11
BTC,10/1/2019,8299.720703,10021.74414,7446.98877,9199.584961,9199.584961,5.95E+11
